mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,label
-489.6218,70.23919,61.14283,48.89805,36.55533,26.469486,19.623278,15.663741,13.472218,11.869776,10.107503,8.004507,5.803412,3.9050932,2.6258535,2.0568166,2.049077,2.3068905,2.5353959,2.5662491,normal
-406.42853,153.23886,-1.3695245,16.263828,10.937109,16.939487,4.4946556,6.6333427,6.228123,3.6961918,-3.058978,-2.162616,-0.6297928,-0.59822476,-1.8099648,-2.7670856,-3.1410267,-3.9528697,-3.5271468,-4.08127,normal
-511.58224,82.09152,6.478385,35.782322,4.926917,23.501286,2.1721387,16.772097,-0.36413616,12.615507,-1.4032469,10.425499,-2.136471,6.5266733,-2.7144651,4.534374,-2.8641636,2.3957448,-2.7101347,1.3202207,normal
-514.13293,78.29218,65.46307,49.305313,34.505836,23.954039,18.07349,15.343872,13.72263,11.918728,9.623236,7.061982,4.6271935,2.7027056,1.5493867,1.2350111,1.5781977,2.1684766,2.5703707,2.5643904,normal
-371.67172,155.28653,35.82747,19.501045,37.935867,34.704395,17.897236,9.181622,10.555704,10.437612,2.700969,-0.75044334,2.5185592,6.1191435,1.3599765,-3.6273108,-3.266012,0.07109541,0.16019823,-1.4394766,normal
-513.7188,79.56976,66.51319,50.06485,35.09041,24.542768,18.783037,16.247904,14.829951,13.121224,10.79461,8.154081,5.6069455,3.5386577,2.3005574,1.9942237,2.3102946,2.7246225,2.8453724,2.5755327,normal
-471.56174,102.066414,2.4498658,36.545425,3.5704181,23.549923,-4.633912,14.7795,-7.222047,8.011778,-9.989812,4.2322106,-10.537742,2.1905272,-10.309568,-0.4019795,-9.192536,-1.8450131,-8.116621,-2.5373926,normal
-424.76453,108.61301,10.503495,47.36547,10.768398,27.064808,-0.83982235,15.499841,-2.224883,8.051429,-7.8761597,3.6573107,-5.46495,1.5648072,-8.025294,-1.3431935,-4.9174848,-2.193668,-6.731658,-2.2147844,normal
-374.50363,155.14563,17.610685,10.29835,15.97524,17.670439,11.508235,2.8708363,0.9311804,-1.4218863,-0.54179716,-0.55956906,-2.2576733,-2.9850028,-3.2905588,-3.7820356,-3.7083447,-3.660849,-2.8776007,-2.5495389,normal
-421.9014,113.94054,8.250111,43.02373,10.213998,30.03195,1.2539887,13.74964,-3.479278,9.308818,-5.123142,3.8485677,-6.597229,1.6823965,-4.96876,-0.48721802,-5.344715,-1.9101464,-4.5825787,-2.778491,normal
-549.605,73.10074,-1.697143,28.962118,-0.5447051,18.543926,-1.8032247,15.123065,-6.083783,9.622066,-7.777273,6.0966573,-8.359727,3.545679,-10.037401,-0.31562534,-8.850922,-0.9984932,-7.3046017,-1.5753001,normal
-564.66754,91.6482,-0.49167994,37.47719,4.5674725,20.303205,1.4482256,11.266618,-1.2085897,5.7739563,-3.7589555,0.87158346,-5.357229,-1.6496551,-5.550653,-4.25008,-5.756565,-4.4690375,-4.433353,-4.737621,normal
-492.96558,82.789734,-17.648375,26.092411,-11.909901,9.738265,-15.123577,4.2567635,-14.352638,2.0501595,-11.941964,1.5385338,-9.709493,1.10447,-7.4374685,0.5790787,-6.6896415,-1.6245939,-6.1063595,-1.825675,normal
-418.43558,113.50983,12.448888,29.558765,8.376063,19.976128,11.114266,24.702974,13.52303,19.348595,7.6067495,10.924097,2.3251004,6.579706,3.0338001,6.4921613,4.1514225,5.3850617,3.0043607,3.0580237,normal
-323.07358,86.07205,11.979303,43.922356,5.7518916,30.059065,1.3443724,22.196846,-1.1287543,17.246489,-3.443761,11.899809,-5.5802836,8.389796,-6.213536,5.7843256,-4.5826488,4.240903,-4.5849094,2.5831556,normal
-342.68222,133.83719,-11.243758,21.353346,-0.14560921,29.179508,-5.0190086,13.736671,-3.9913495,15.423252,-8.00815,3.4272947,-4.359003,13.799346,0.41282317,5.838561,-1.4188615,6.90313,-1.0076525,1.1957077,normal
-590.0749,96.722115,4.0038843,26.42386,0.044495337,15.458216,2.1292906,9.472006,-0.7506854,1.6018653,-5.854719,-2.1938312,-5.599734,-2.8696973,-3.9570334,-3.7401564,-4.510059,-4.865936,-3.0294225,-3.5305834,normal
-312.49167,85.0566,15.164686,42.641365,9.540906,27.211409,6.0018454,22.332914,4.2918587,17.992544,3.6326525,13.7220745,1.8669266,10.626123,1.7694376,8.344161,1.8927841,6.7331758,1.6668594,4.8798366,normal
-504.03796,76.99712,-1.5852623,34.563675,0.6633747,23.808498,-3.102399,16.335905,-6.465252,11.320951,-7.647814,6.6361346,-9.072886,2.8256273,-9.941511,0.28885904,-9.759558,-1.2041795,-8.794813,-2.4996424,normal
-449.99878,76.79253,13.079456,30.063972,6.863279,11.621458,1.7591184,4.5420113,-3.1108592,0.014638688,-4.2190747,-1.4840605,-6.3354864,-4.1030307,-6.3778954,-4.6273017,-5.2306366,-4.495001,-4.2569556,-4.149931,normal
-361.65936,158.20338,4.6445107,15.81828,-0.23900054,28.257236,2.4743068,5.4645734,-9.968036,3.8191721,-2.140336,6.724365,-2.2494159,0.4040999,-5.656128,-1.9297584,-6.269677,-5.8725095,-5.7231326,-3.0880816,normal
-484.8068,38.55266,34.2204,29.332882,25.084707,21.478981,18.231546,15.395852,13.142404,11.428627,10.064494,8.9234495,8.000829,7.333364,6.889267,6.52593,6.081326,5.51886,4.9497137,4.4981055,normal
-591.205,124.62021,-11.855297,13.405164,-1.7016091,17.472916,-7.426212,14.575628,-2.2118578,12.202884,-7.1672745,3.1356063,-8.348776,6.940113,-1.3798777,4.200771,-7.3388686,-1.1673442,-7.1840935,-3.310456,normal
-562.2224,117.35479,4.9841623,19.32945,2.0583494,17.079618,3.1715066,5.026962,-2.9796934,-0.21132752,-3.0093973,-0.61757225,-2.596616,-2.676829,-3.3803747,-3.8079681,-3.5589778,-4.459286,-3.2181356,-4.122497,normal
-369.18674,91.60229,8.740098,45.028103,21.45874,27.615288,17.34626,19.14358,14.277477,20.668924,16.91429,12.288245,7.015624,10.82069,10.951164,7.448577,6.130361,5.795323,4.8902245,3.0606627,normal
-350.2134,170.83258,0.30729806,7.4828987,-6.633346,15.461507,-6.697017,7.7642436,-0.042159963,5.203593,-5.4767356,4.8123226,1.290695,0.52075034,-6.3871255,-1.4295007,-2.9183848,-9.49811,-13.926123,-8.668819,normal
-562.39606,126.17882,21.99627,47.819557,14.591338,24.753489,3.4571164,13.5375,-0.6016365,6.15724,-3.4475718,1.9904033,-4.478071,-0.950162,-4.8980308,-2.2235959,-4.2258544,-3.462811,-3.8910997,-4.283988,normal
-502.83524,78.35299,67.20462,52.68604,38.776558,28.169607,21.536465,17.912798,15.713153,13.665859,11.228068,8.491157,5.8641315,3.7870715,2.5416536,2.1368916,2.295317,2.587525,2.6671927,2.449412,normal
-498.43823,115.788284,61.335762,47.463505,37.96333,24.501572,18.384752,12.03433,6.260337,2.9661243,0.35586312,-1.4180614,-3.1233232,-4.1296678,-4.7506294,-5.559983,-5.9398184,-6.164518,-6.2201867,-5.976652,normal
-519.6658,63.238144,20.25989,23.119051,17.899302,12.442245,15.079548,7.987174,-2.6614852,-1.0243821,-2.4446414,-1.1806766,-1.2870013,-4.434759,-7.087217,-5.287489,-5.816337,-4.1747594,-3.166505,-4.3218803,normal
-379.535,118.24622,8.529406,19.718822,-3.0279367,20.717894,0.050542973,13.7453165,-3.4467058,18.079884,-0.6572322,9.645381,-10.000032,8.5208,-7.4362464,7.3446116,-11.210547,5.8546352,-9.5962105,7.7714715,normal
-608.929,53.43698,-2.1131046,17.918291,0.85052544,4.5509186,-1.8076982,-0.2235486,-3.64912,0.6450126,-3.546853,-1.1885475,-4.127001,-2.5860806,-3.518688,-2.8316965,-3.3442185,-2.222771,-2.5953646,-1.3187759,artifact
-228.51689,126.35459,-10.674096,45.782074,-12.795751,9.559473,8.82334,-5.171934,-1.7993158,6.855271,-11.84808,-0.74642295,-7.0621543,-4.132654,-5.439792,-6.3532553,-5.5673914,-1.4674966,-8.52121,-2.0950618,artifact
-351.6603,86.566055,-12.535854,15.84593,-22.669966,8.574584,-24.580965,1.6515539,-21.055819,-0.40073663,-14.565072,1.2971581,-9.414019,1.1113411,-8.326671,0.93246067,-9.060504,0.18343459,-6.882193,1.239736,artifact
-905.6529,4.3116283,-1.3792605,1.8079789,-0.14672987,0.601813,-0.27487054,0.7079677,-0.87008363,0.74300754,-1.2128717,0.52111554,-0.8936714,0.51878685,-0.8112776,0.31907707,-0.96319425,-0.11356922,-0.4403443,-0.21556379,artifact
-518.9321,101.07448,-12.510625,26.031273,-13.912714,16.117968,-15.003899,10.82036,-13.262754,11.239287,-11.058423,9.184959,-10.3457775,7.1958804,-9.499156,5.62396,-8.806572,3.5066874,-7.1678104,3.9106977,artifact
-339.42877,114.23404,-72.262596,48.70456,-24.30283,-2.4907856,-13.770591,6.122039,-8.675547,4.762337,-25.016,-4.9836617,-9.041799,2.5923657,-12.511967,3.6877062,-6.5398955,-4.9912877,-3.9845073,1.1869478,artifact
-459.3674,79.623436,-30.598162,23.676804,-22.048092,12.319093,-24.406254,7.5400257,-16.612831,11.370013,-15.650594,6.897662,-12.623438,8.11196,-12.507896,3.6506865,-11.280739,5.1500006,-9.546088,2.2435853,artifact
-350.6444,122.08592,-7.5797696,27.224356,-22.884472,24.642004,-21.273054,17.346617,-19.06115,11.940336,-15.193221,3.2675748,-11.523207,1.1725901,-11.207922,1.3281097,-13.168632,0.23509079,-11.473629,0.35117507,artifact
-701.80035,37.157578,-20.794174,8.938242,-6.126508,6.433069,-15.549844,8.173812,-12.383154,6.1108356,-13.63457,7.1727214,-8.647606,4.8824196,-7.886423,4.555215,-7.377343,2.0830867,-4.0113516,3.4284518,artifact
-610.14105,33.36504,0.55387276,4.0025845,-2.7588599,3.1896663,-0.39134273,0.0019128941,-4.0147824,-1.6220545,-1.9209062,-1.1727304,-3.6718445,-1.6148438,-2.4889908,-2.6317008,-1.5816116,-0.8420314,-1.2133929,-1.4405999,artifact
-532.7406,116.364876,-13.758501,7.2874837,-12.24872,6.4102817,-7.749433,2.0521317,-9.326212,-0.8995239,-6.4250736,1.8416907,-4.992904,-1.2882949,-3.5086992,-0.9204381,0.33705145,2.0896547,-0.9734069,-0.87701076,artifact
-294.20016,184.11122,53.330025,-0.20703295,-9.7543955,-11.763887,-29.500687,-43.66469,-40.026875,-25.235147,-19.886356,-21.657444,-22.014156,-18.24384,-14.657776,-9.229252,0.16249138,9.316715,13.430924,14.402382,artifact
-287.41354,49.320732,12.575068,6.1489925,-22.066912,-11.981233,-31.085865,-24.708899,-40.609295,-8.266771,-18.73998,15.235643,-12.400646,29.896132,43.76809,27.047848,-8.123693,-25.27612,-16.28787,-5.610993,artifact
46.064552,55.088814,-42.87883,28.142723,-25.17321,10.136829,-21.522078,9.922707,-21.917702,5.96099,-12.930225,8.331012,-10.950299,9.670045,-6.955207,5.012995,-10.224415,3.3411891,-9.676337,4.0738354,artifact
-973.72003,-5.7876773,10.051925,-7.7430477,-0.70744014,4.1101604,-8.583559,10.069743,-11.697815,9.572034,-8.978857,6.3257656,-5.56049,3.7162166,-4.3924403,3.1905766,-3.817047,3.373289,-2.6258178,2.278875,artifact
-260.60666,126.54528,-15.39655,11.104267,-11.205357,10.860121,-7.9639697,3.783333,-7.538425,-1.3893396,-11.408398,-4.0681744,-9.909027,-5.9878316,-9.502284,-6.7595053,-7.80293,-5.7951345,-6.9132776,-5.624395,artifact
-139.79163,190.5336,-36.729095,18.79058,-6.2904577,10.215838,-9.213261,-0.75905263,-9.3569145,0.6911392,-9.11498,-6.8029284,-10.980249,-11.605345,-14.808872,-14.023951,-13.795611,-11.888017,-12.353072,-11.521476,artifact
-556.44965,42.29434,-22.026354,8.041907,-20.480848,8.773576,-20.13807,10.051019,-16.79663,9.250837,-16.082014,8.620353,-13.760306,8.976964,-11.077767,8.128814,-9.6145735,6.4122357,-7.836623,4.4726014,artifact
-241.938,114.31874,-20.15596,-33.145523,-21.344545,31.310831,48.2717,38.122517,-9.601298,-38.816525,-22.60497,23.331343,23.732828,-5.4006066,-20.08395,-9.333123,-12.248462,-4.707139,10.451369,11.196212,artifact
-1081.0433,-29.420664,23.830606,-20.293455,7.3940916,7.137589,-16.907349,16.892754,-13.32347,10.469143,-7.045114,5.8427825,-5.7776494,6.0418315,-6.1046844,5.851131,-6.0584955,4.810235,-3.373798,2.2193515,artifact
130.12148,65.27642,-42.04272,27.153605,-19.210829,16.790077,-15.298455,13.738605,-13.335976,12.370659,-12.210724,11.024514,-9.990572,8.777647,-9.86263,7.4210825,-7.9604917,6.183368,-7.2225523,5.288056,artifact
-383.892,140.24376,-12.226201,-4.7000604,-3.0190306,3.7125065,-5.1803994,-0.6936399,-9.687769,-3.588745,-7.508606,-3.4215665,-7.529086,-2.3716564,-6.3999367,-5.603311,-8.026719,-4.3184013,-5.460323,-2.1399283,artifact
-468.03323,82.409485,-3.8350005,26.562668,-5.0084567,17.894009,-17.238245,13.094215,-16.365437,6.195636,-19.19371,5.693144,-13.546144,4.052393,-16.000046,3.3896604,-11.38556,4.4629626,-9.898507,3.8411386,artifact
-293.2651,106.98866,-16.534512,29.131453,-20.279518,3.9498823,-24.880367,3.860851,-16.896774,-1.4719927,-14.811121,0.9142808,-13.524934,1.8273065,-8.850304,1.2729269,-9.339592,1.2591751,-7.447494,0.08030056,artifact
-398.40387,101.65984,-8.206474,11.392902,0.49670947,6.518931,-4.8329926,3.5285313,-5.520122,-0.7107047,-7.071307,-2.1346455,-6.4067106,-2.5457315,-5.8277035,-3.5451598,-5.817373,-3.5009325,-4.734818,-3.3479931,artifact
95.184586,38.19802,-20.922253,21.648254,-14.8515625,15.681486,-13.430445,14.408721,-12.254304,12.329036,-10.770294,10.862866,-9.87914,9.693821,-8.477824,7.323791,-7.728893,6.5799956,-6.4808187,5.4750376,artifact
-1081.0217,-29.527248,24.163208,-20.422487,7.198815,7.6406794,-16.41195,17.198189,-13.905984,9.683309,-7.5597997,5.8155937,-5.498942,6.0655,-6.3082757,6.160784,-5.7979064,4.858665,-3.3782592,2.3422306,artifact
-290.85382,102.28452,-17.437958,12.789051,-11.842473,10.615541,-15.127804,-2.2983387,-13.652271,2.816918,-15.518258,-5.208488,-10.861096,3.2709107,-10.383442,-5.897598,-8.765587,0.012929343,-2.6002748,0.46219578,artifact
-378.6156,132.85226,-2.3504653,11.994269,6.160717,8.417923,-1.5827863,1.9019408,-4.228934,-1.4493643,-6.9921975,-3.433939,-6.876356,-3.792294,-6.1164155,-3.0354905,-4.9385285,-3.3386748,-4.558681,-3.5097227,artifact
-480.99725,149.57262,-47.923584,-1.5039374,-14.151729,15.916531,-4.1939116,13.200337,-21.080196,-2.7792776,-13.253621,2.9535022,-13.125728,-0.06639078,-6.9405103,5.27634,-8.170891,3.4804394,-3.237785,-0.52115697,artifact
129.07045,87.48526,-40.32773,23.145054,-17.35667,16.123863,-16.192083,13.057635,-14.431728,11.198208,-13.117915,10.194538,-10.353544,9.363206,-8.99118,7.559835,-7.7360573,6.616729,-6.52974,5.782881,artifact
-492.0314,105.008446,-30.450914,24.022533,-0.810415,10.370298,-19.374622,-0.1824172,-14.859013,0.41600323,-17.954506,4.645124,-14.18278,3.8713999,-7.088812,6.6647983,-2.312166,1.0288149,-6.2737145,1.2081496,artifact
-247.7228,133.93944,-64.07905,31.537046,-28.883732,-4.3042307,-25.201128,-0.39445758,-8.967243,-5.349817,-11.9194765,-2.8691492,-8.779562,-3.135445,-3.1908429,-1.986057,-5.8216577,-4.967982,-5.7350464,-4.1660576,artifact
-319.28827,156.83752,37.568108,-20.263624,-23.913511,-31.063078,-44.440163,-41.784283,-31.466452,-29.82795,-31.041983,-24.972776,-15.948226,-9.42967,3.055069,27.439344,47.039963,43.320087,22.898489,1.51094,artifact
-32.811203,106.75783,-55.747307,22.027063,-18.023577,-6.342343,-25.934364,-3.550264,-21.03323,3.1012096,-10.786278,1.3326051,-11.890929,0.38034728,-5.87878,1.075459,-9.195325,0.44440478,-4.9329925,2.0434878,artifact
-403.21695,130.39763,2.830802,17.373102,0.58801323,8.813391,-0.7168221,3.2300215,-9.234874,-3.5961823,-7.849302,-3.6839833,-10.89082,-5.5853467,-10.381297,-5.4672914,-3.494786,-2.4169524,-5.665256,-2.1962621,artifact
-285.96082,164.62123,19.09864,-14.273901,-21.959536,-11.224137,-18.651579,-42.676956,-49.969433,-28.179932,-28.582096,-35.024475,-13.651464,-14.527285,-20.437279,-4.9039745,6.013705,9.129863,24.365953,32.866734,artifact
-321.2091,162.13165,40.258163,-22.145561,-21.877577,-18.807432,-31.515482,-40.03013,-36.850853,-31.147913,-28.092484,-24.343163,-18.045818,-12.252293,-4.6619515,14.227534,39.58143,50.584553,39.139015,16.334276,artifact
-280.71133,154.4619,7.1005983,26.437325,22.277628,14.377633,-12.101039,0.32332632,8.831719,-8.562071,-20.789896,-12.761329,-3.7227275,-6.702796,-15.939958,-6.4251795,-0.9637161,-4.2090144,-12.499012,-3.6216533,artifact
-361.38235,91.48138,37.495308,38.927456,25.077036,24.93237,22.580906,16.902517,12.249862,17.18018,12.159154,11.271885,10.776312,10.654991,5.4868207,9.938013,6.296824,6.562498,6.7464943,5.987763,artifact
-473.99805,62.0079,55.773834,47.230976,37.955864,29.427816,23.163502,18.588795,15.432954,12.957197,10.732989,8.379424,6.2516766,4.6730766,3.7212512,3.3191228,3.3669994,3.5974307,3.606358,3.3449876,murmur
-460.54108,73.652596,66.136086,55.84881,44.921246,35.03039,27.165,21.195385,16.62551,12.930627,9.738412,6.7715054,4.145569,2.0570567,0.65553665,-0.07225295,-0.24672927,-0.15304862,-0.0600635,-0.08729063,murmur
-457.24155,89.1454,72.95509,58.93399,45.454056,34.404663,25.324694,19.323462,15.701,12.289203,8.678047,5.643717,2.905502,0.95765716,-0.35600746,-0.3580883,-0.36388594,-0.4342182,-0.55439484,-0.4974855,murmur
-442.8806,120.03015,20.50595,43.11362,5.05736,28.340353,3.0511284,17.720865,-10.637665,6.071064,-12.142422,5.6149807,-7.1946826,3.4451501,-10.532357,-1.2625496,-8.304765,-0.5389186,-7.0664463,-2.2357678,murmur
-467.54004,69.356514,62.92293,53.886864,44.1065,35.178207,28.011845,22.739218,18.924171,15.924386,13.222787,10.600272,8.121566,5.9946084,4.402914,3.3965008,2.8777149,2.6613362,2.5562756,2.4238617,murmur
-468.0037,69.00995,62.45342,53.28201,43.41602,34.51121,27.501524,22.465712,18.868238,15.991189,13.28585,10.539348,7.872697,5.581131,3.9055417,2.9000971,2.439964,2.2865808,2.1781352,1.9397997,murmur
-532.0581,88.581795,69.56844,48.306705,31.471922,21.297722,17.373512,16.175564,14.802751,11.942228,8.781584,6.3347836,4.497131,2.730255,1.5065994,1.494606,2.28076,2.840888,2.712182,2.1261082,murmur
-552.2089,68.067276,-10.663655,31.510498,6.8969665,16.036728,2.476857,9.044982,3.3664,11.127502,6.8030696,6.1601467,-0.029071553,4.7709394,4.711419,1.78619,1.5693667,3.7142832,1.5990354,-0.45282868,murmur
-443.3857,68.207214,62.79245,55.14824,46.376762,37.65669,30.540981,24.772818,20.471891,17.152311,14.405247,11.668086,9.037647,6.654856,4.5976143,2.9699154,1.9367512,1.4470649,1.1784981,1.0081955,murmur
-483.4953,72.80246,64.39366,53.129776,41.485477,31.463112,24.375637,19.663261,16.486517,13.877492,11.300312,8.504078,5.852786,3.7885516,2.4905024,1.90086,1.8693308,2.092621,2.185319,2.0293546,murmur
-467.2947,74.52494,67.14601,57.08145,46.260807,36.410233,29.14749,23.872093,20.203587,17.271122,14.527845,11.509837,8.545834,6.0051336,4.0643277,2.75069,2.0466824,1.7337073,1.4231318,1.032735,murmur
-475.6809,72.43692,60.47199,49.150852,40.89833,33.465813,27.915113,24.141111,20.969564,17.76327,15.757791,14.497658,12.96651,11.24234,9.82074,8.3694935,6.8286,5.7757635,5.2108517,4.709194,murmur
-484.1862,74.493645,65.48765,53.44394,41.17286,30.82647,23.559965,18.83031,15.65169,13.0493765,10.464098,7.654052,4.9503155,2.7322233,1.2735257,0.5839195,0.52855635,0.7999295,1.048893,1.1151505,murmur
-486.15784,76.36473,66.883934,54.088936,41.106533,30.322926,22.697388,17.826248,14.564374,11.777327,8.843175,5.75442,2.9056995,0.7628079,-0.40988335,-0.66413474,-0.3099987,0.25472248,0.7229991,0.97046286,murmur
-488.50974,75.23467,65.41378,52.587276,39.837963,29.418022,22.698717,18.430117,15.511599,12.816975,9.962087,6.8356357,4.023269,1.928082,0.6741366,0.13032247,0.12788251,0.35621104,0.43196106,0.34061053,murmur
-483.8144,76.067986,67.02034,54.76313,42.245003,31.73446,24.16846,19.2037,15.794539,12.896198,9.93213,6.883475,4.0842357,1.9158931,0.57448906,-0.007113852,-0.09097746,0.012236613,0.08095697,0.044630785,murmur
-475.35703,90.98226,78.03559,61.225994,44.915455,32.086308,23.652208,18.593624,15.1987505,12.1234865,8.7039995,4.8832817,1.1189361,-2.0502734,-4.28357,-5.4445744,-5.566149,-4.9304714,-3.9387298,-2.8970308,murmur
-440.04367,101.22445,1.193596,39.76408,3.5875156,25.791231,-2.895691,12.971558,-5.8086653,8.925802,-8.282673,3.3246977,-7.147449,2.8410163,-6.6226172,-0.6922436,-7.435412,-2.1171458,-5.757268,-2.1196187,murmur
-457.5891,54.940434,46.196117,38.454617,33.07054,28.334444,24.159319,20.94327,18.556118,16.520891,14.930257,13.599822,12.426961,11.351002,10.40158,9.512733,8.734947,8.069465,7.4387903,6.8140874,murmur
-483.82095,78.288956,67.356415,53.441563,39.953003,28.882593,21.621347,17.280901,14.702567,12.413606,9.781072,6.6433554,3.603619,1.0910103,-0.6013377,-1.3909274,-1.4123223,-1.0645308,-0.72709364,-0.4393703,murmur
-474.52856,87.93524,77.330124,62.930397,48.075516,35.276436,25.594206,18.791609,13.940303,10.05913,6.517065,3.1454868,0.13119094,-2.2022855,-3.6196,-4.1124034,-3.8978052,-3.2975645,-2.5921495,-1.9471326,murmur
-478.58875,81.599525,71.56373,57.92331,43.807194,31.920591,23.784496,18.015589,13.716553,10.129746,6.969358,3.83412,1.0657576,-0.86978495,-1.8006536,-1.8983185,-1.4029741,-0.65222734,-0.10302542,0.14620484,murmur
-481.9847,78.65591,68.46849,54.93649,41.283005,30.102945,22.770885,18.362062,15.598931,13.260842,10.704515,7.651702,4.5420895,1.9607152,0.20279415,-0.7260318,-0.9293343,-0.6728106,-0.34802184,-0.10810615,murmur
-486.736,75.708496,66.05247,53.162937,40.239574,29.715689,22.573818,18.32176,15.692037,13.499713,11.071095,8.3119135,5.596936,3.4362288,2.1122518,1.586554,1.5885195,1.7262175,1.6842815,1.4165782,murmur
-481.41522,80.581894,70.74367,57.448345,44.224136,33.018322,24.868738,19.29503,15.318163,11.975202,8.782438,5.693517,2.9829578,0.9048603,-0.30495846,-0.78239477,-0.6675401,-0.43272728,-0.18928038,-0.1943457,murmur
-388.12057,146.56522,10.687089,27.850393,14.590075,21.109486,-0.15341555,6.0489907,2.7889187,6.9164915,1.1792941,1.0398234,-3.8422704,-5.2554812,-4.999689,-2.9180012,-2.8863332,-6.8160195,-6.640277,-6.918118,murmur
-480.89105,79.84478,70.399895,57.69703,45.031452,34.298904,26.499083,21.182762,17.32987,13.957683,10.541416,7.063758,3.836305,1.2451166,-0.40877265,-1.1693293,-1.2025052,-0.9769351,-0.67298955,-0.5742026,murmur
-416.6227,147.59998,21.294386,15.615426,33.993504,24.701704,10.223164,4.260776,7.4205284,6.090635,-0.5147298,-4.4148545,-4.0147266,-3.4759684,-4.5372496,-4.5141435,-4.445696,-3.4095583,-1.2148241,-2.6802588,murmur
-525.63855,97.50693,11.970625,49.47913,21.298573,27.708666,14.007662,16.180237,8.431108,15.578016,11.125676,8.859621,4.2234645,7.457434,7.085804,5.1724935,4.3193903,3.8461025,3.8874557,2.2930532,murmur
-367.0111,129.87929,13.741179,50.6736,15.295923,22.960527,4.1503377,16.481071,1.0918787,6.4530683,-2.1399565,2.3660727,-5.636331,-1.8728193,-5.6903815,-4.664055,-4.156437,-3.5449045,-4.8677635,-4.404148,murmur
-482.1252,75.03575,66.64474,55.21851,43.43593,33.373264,25.921568,20.830923,17.217094,14.173104,11.175576,8.171264,5.4180074,3.2367198,1.8093984,1.0920714,0.85014457,0.7792459,0.6448179,0.3674572,murmur
-469.15063,69.51402,62.85101,53.502666,43.42807,34.32945,27.177917,22.089342,18.543974,15.79402,13.248926,10.679578,8.197734,6.0787115,4.5511084,3.6623592,3.2660828,3.1074953,2.9422116,2.62459,murmur
-420.9819,114.964516,6.5184293,42.429535,9.575736,30.680569,0.79522014,14.022966,-4.0417995,9.72014,-5.3931665,4.3693414,-6.99942,1.9872538,-5.414224,-0.13756202,-5.662409,-1.6346413,-4.9233274,-2.4336526,murmur
-377.97937,94.15802,11.777352,47.09828,24.902803,27.987228,19.2652,16.857292,16.171627,18.314548,16.047392,10.020647,8.443566,11.171487,9.852512,5.4041424,6.9516125,6.4163694,4.849334,3.7627683,murmur
